rivid,area_sqm,lon_index,lat_index,npoints,lsm_grid_lon,lsm_grid_lat
17239590,0,691,439,1,-96.20833333333672,42.29166666666572
17240336,0,691,439,1,-96.20833333333672,42.29166666666572
17240354,0,691,439,1,-96.20833333333672,42.29166666666572
17239364,0,691,439,1,-96.20833333333672,42.29166666666572
17239468,0,691,439,1,-96.20833333333672,42.29166666666572
17240280,0,691,439,1,-96.20833333333672,42.29166666666572
17239652,0,691,439,1,-96.20833333333672,42.29166666666572
17240374,0,691,439,1,-96.20833333333672,42.29166666666572
17239420,0,691,439,1,-96.20833333333672,42.29166666666572
17239558,0,691,439,1,-96.20833333333672,42.29166666666572
17240388,0,691,439,1,-96.20833333333672,42.29166666666572
17240382,0,691,439,1,-96.20833333333672,42.29166666666572
17239656,0,691,439,1,-96.20833333333672,42.29166666666572
17240214,0,691,439,1,-96.20833333333672,42.29166666666572
17240240,0,691,439,1,-96.20833333333672,42.29166666666572
17239260,0,691,439,1,-96.20833333333672,42.29166666666572
17239262,0,691,439,1,-96.20833333333672,42.29166666666572
17238996,0,691,439,1,-96.20833333333672,42.29166666666572
17239660,0,691,439,1,-96.20833333333672,42.29166666666572
17239256,0,691,439,1,-96.20833333333672,42.29166666666572
17239342,0,691,439,1,-96.20833333333672,42.29166666666572
17240396,0,691,439,1,-96.20833333333672,42.29166666666572
17240192,0,691,439,1,-96.20833333333672,42.29166666666572
17239392,0,691,439,1,-96.20833333333672,42.29166666666572
17239240,0,691,439,1,-96.20833333333672,42.29166666666572
17239372,0,691,439,1,-96.20833333333672,42.29166666666572
17239398,0,691,439,1,-96.20833333333672,42.29166666666572
17240222,0,691,439,1,-96.20833333333672,42.29166666666572
17240224,0,691,439,1,-96.20833333333672,42.29166666666572
17239404,0,691,439,1,-96.20833333333672,42.29166666666572
17239346,0,691,439,1,-96.20833333333672,42.29166666666572
17239474,0,691,439,1,-96.20833333333672,42.29166666666572
17239476,0,691,439,1,-96.20833333333672,42.29166666666572
17239366,0,691,439,1,-96.20833333333672,42.29166666666572
17239232,0,691,439,1,-96.20833333333672,42.29166666666572
17239434,0,691,439,1,-96.20833333333672,42.29166666666572
17240286,0,691,439,1,-96.20833333333672,42.29166666666572
